"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","22009","0"
"StopSequence1","2","21699","0.9"
"StopSequence2","3","21689","1.1"
"StopSequence3","4","21229","1.4"
"StopSequence4","5","21219","1.6"
"StopSequence5","6","21619","2"
"StopSequence6","7","21609","2.4"
"StopSequence7","8","21599","2.8"
"StopSequence8","9","21589","3.1"
"StopSequence9","10","21579","3.4"
"StopSequence10","11","21569","3.6"
"StopSequence11","12","21559","4.1"
"StopSequence12","13","21179","4.3"
"StopSequence13","14","21029","4.8"
"StopSequence14","15","21019","5.4"
"StopSequence15","16","20089","6.8"
"StopSequence16","17","20269","7.8"
"StopSequence17","18","20259","8"
"StopSequence18","19","20159","8.3"
"StopSequence19","20","20149","8.6"
"StopSequence20","21","20139","9"
"StopSequence21","22","20289","9.5"
"StopSequence22","23","20299","10"
"StopSequence23","24","17079","10.2"
"StopSequence24","25","17069","10.5"
"StopSequence25","26","17049","11"
"StopSequence26","27","17039","11.4"
"StopSequence27","28","17389","11.7"
"StopSequence28","29","17029","12"
"StopSequence29","30","17019","12.4"
"StopSequence30","31","16089","12.7"
"StopSequence31","32","16079","12.9"
"StopSequence32","33","16069","13.2"
"StopSequence33","34","16059","13.5"
"StopSequence34","35","16049","13.7"
"StopSequence35","36","16039","13.9"
"StopSequence36","37","16029","14.2"
"StopSequence37","38","16019","14.7"
"StopSequence38","39","16209","14.9"
"StopSequence39","40","15229","15.2"
"StopSequence40","41","15219","15.4"
"StopSequence41","42","15209","15.8"
"StopSequence42","43","15199","16.1"
"StopSequence43","44","15169","16.6"
"StopSequence44","45","15159","16.8"
"StopSequence45","46","15149","17.1"
"StopSequence46","47","14189","17.5"
"StopSequence47","48","14179","17.8"
"StopSequence48","49","14169","18.2"
"StopSequence49","50","14159","18.7"
"StopSequence50","51","14139","19.1"
"StopSequence51","52","14129","19.6"
"StopSequence52","53","14119","19.9"
"StopSequence53","54","14109","20.6"
"StopSequence54","55","14089","21"
"StopSequence55","56","14069","21.9"
"StopSequence56","57","05641","22.4"
"StopSequence57","59","91081","30"
"StopSequence58","60","91091","30.5"
"StopSequence59","61","81171","31.3"
"StopSequence60","62","81181","31.8"
"StopSequence61","63","81191","32.2"
"StopSequence62","64","82081","32.6"
"StopSequence63","65","82091","32.8"
"StopSequence64","66","82111","33.2"
"StopSequence65","67","82011","33.4"
"StopSequence66","68","82033","33.8"
"StopSequence67","69","82061","34.3"
"StopSequence68","70","83011","34.9"
"StopSequence69","71","83031","35.2"
"StopSequence70","72","83062","35.6"
"StopSequence71","73","83081","36.1"
"StopSequence72","74","84011","36.7"
"StopSequence73","75","84021","37"
"StopSequence74","76","84009","37.8"
