"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode"
"routeInfo",30,SBST,22009,84009,2018-04-14T20:00:00+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:12:00+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:24:00+08:00,0,0,1,SEA,WAB,DD,1.339323347,103.705457,22009
"",30,SBST,22009,84009,2018-04-14T19:52:35+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:03:46+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:15:46+08:00,0,0,1,SEA,WAB,DD,1.341549821,103.7120308,21699
"",30,SBST,22009,84009,2018-04-14T19:53:22+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:04:32+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:16:32+08:00,0,0,1,SEA,WAB,DD,1.342419846,103.7144234,21689
"",30,SBST,22009,84009,2018-04-14T19:55:03+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:06:18+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:18:18+08:00,0,0,1,SEA,WAB,DD,1.342003461,103.7160202,21229
"",30,SBST,22009,84009,2018-04-14T19:55:45+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:07:01+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:19:01+08:00,0,0,1,SEA,WAB,DD,1.340103561,103.7162593,21219
"",30,SBST,22009,84009,2018-04-14T19:56:55+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:08:08+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:20:08+08:00,0,0,1,SEA,WAB,DD,1.337935099,103.7181621,21619
"",30,SBST,22009,84009,2018-04-14T19:58:10+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:09:23+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:21:23+08:00,0,0,1,SEA,WAB,DD,1.337751668,103.7210263,21609
"",30,SBST,22009,84009,2018-04-14T19:59:41+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:10:42+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:22:42+08:00,0,0,1,SEA,WAB,DD,1.334683562,103.7226849,21599
"",30,SBST,22009,84009,2018-04-14T20:01:06+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:11:47+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:23:47+08:00,0,0,1,SEA,WAB,DD,1.332465687,103.7234581,21589
"",30,SBST,22009,84009,2018-04-14T20:02:16+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:12:44+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:24:44+08:00,0,0,1,SEA,WAB,DD,1.330134723,103.7231809,21579
"",30,SBST,22009,84009,2018-04-14T20:02:46+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:13:23+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:25:23+08:00,0,0,1,SEA,WAB,DD,1.328572039,103.7228981,21569
"",30,SBST,22009,84009,2018-04-14T20:04:21+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:14:53+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:26:53+08:00,0,0,1,SEA,WAB,DD,1.326626599,103.7206391,21559
"",30,SBST,22009,84009,2018-04-14T20:05:46+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:16:25+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:28:25+08:00,0,0,1,SEA,WAB,DD,1.325861667,103.7192953,21179
"",30,SBST,22009,84009,2018-04-14T20:06:49+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:17:32+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:29:32+08:00,0,0,1,SEA,WAB,DD,1.324315132,103.7216714,21029
"",30,SBST,22009,84009,2018-04-14T20:07:37+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:18:22+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:30:22+08:00,0,0,1,SEA,WAB,DD,1.325548678,103.7270332,21019
"",30,SBST,22009,84009,2018-04-14T19:51:39+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:09:40+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:20:16+08:00,0,0,1,SEA,WAB,DD,1.327029677,103.739223,20089
"",30,SBST,22009,84009,2018-04-14T19:54:03+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:11:50+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:22:53+08:00,0,0,1,SEA,WAB,DD,1.321517806,103.7458094,20269
"",30,SBST,22009,84009,2018-04-14T19:55:07+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:12:50+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:23:45+08:00,0,0,1,SEA,WAB,DD,1.319621876,103.74477,20259
"",30,SBST,22009,84009,2018-04-14T19:56:04+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:13:41+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:24:34+08:00,0,0,1,SEA,WAB,DD,1.318511375,103.7464017,20159
"",30,SBST,22009,84009,2018-04-14T19:57:03+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:14:36+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:25:33+08:00,0,0,1,SEA,WAB,DD,1.317959697,103.7489727,20149
"",30,SBST,22009,84009,2018-04-14T19:58:06+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:15:40+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:26:31+08:00,0,0,1,SEA,WAB,DD,1.315841669,103.7520438,20139
"",30,SBST,22009,84009,2018-04-14T19:59:15+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:16:49+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:27:40+08:00,0,0,1,SEA,WAB,DD,1.312488018,103.7550342,20289
"",30,SBST,22009,84009,2018-04-14T20:00:24+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:17:54+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:28:37+08:00,0,0,1,SEA,WAB,DD,1.310928042,103.7585754,20299
"",30,SBST,22009,84009,2018-04-14T20:01:29+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:18:58+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:29:35+08:00,0,0,1,SEA,WAB,DD,1.309683042,103.7599936,17079
"",30,SBST,22009,84009,2018-04-14T20:02:34+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:20:03+08:00,1.340319,103.7087935,1,SDA,WAB,SD,22009,84009,2018-04-14T20:30:38+08:00,0,0,1,SEA,WAB,DD,1.307766372,103.7621407,17069
"",30,SBST,22009,84009,2018-04-14T19:50:39+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:04:07+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:21:36+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.304706382,103.7645982,17049
"",30,SBST,22009,84009,2018-04-14T19:52:20+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:05:43+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:23:12+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.301531646,103.7660643,17039
"",30,SBST,22009,84009,2018-04-14T19:53:21+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:06:39+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:24:08+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.299081389,103.7670019,17389
"",30,SBST,22009,84009,2018-04-14T19:54:27+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:07:38+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:25:07+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.296945701,103.767103,17029
"",30,SBST,22009,84009,2018-04-14T19:55:00+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:08:10+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:25:39+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.293797479,103.7670518,17019
"",30,SBST,22009,84009,2018-04-14T19:56:25+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:09:23+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:26:52+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.292011383,103.7690842,16089
"",30,SBST,22009,84009,2018-04-14T19:57:03+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:09:59+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:27:28+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.291382649,103.7712984,16079
"",30,SBST,22009,84009,2018-04-14T19:57:44+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:10:34+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:28:03+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.290829722,103.7731167,16069
"",30,SBST,22009,84009,2018-04-14T19:58:44+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:11:29+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:28:58+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.289672662,103.7759414,16059
"",30,SBST,22009,84009,2018-04-14T19:59:26+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:12:04+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:29:33+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.289137897,103.7773865,16049
"",30,SBST,22009,84009,2018-04-14T20:00:11+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:12:50+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:30:19+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.287990202,103.7787203,16039
"",30,SBST,22009,84009,2018-04-14T20:00:46+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:13:24+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:30:53+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.286084722,103.7802214,16029
"",30,SBST,22009,84009,2018-04-14T20:01:47+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:14:25+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:31:54+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.282780786,103.7821761,16019
"",30,SBST,22009,84009,2018-04-14T20:02:39+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:15:17+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:32:46+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.281587953,103.7840107,16209
"",30,SBST,22009,84009,2018-04-14T20:03:16+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:15:54+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:33:23+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.27937639,103.7857273,15229
"",30,SBST,22009,84009,2018-04-14T20:04:15+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:16:53+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:34:22+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.278181141,103.7870103,15219
"",30,SBST,22009,84009,2018-04-14T20:04:55+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:17:33+08:00,1.3255235,103.727338,1,SEA,WAB,DD,22009,84009,2018-04-14T20:35:02+08:00,1.340319,103.7087935,1,SDA,WAB,SD,1.277065619,103.7902343,15209
"",30,SBST,22009,84009,2018-04-14T20:05:46+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:18:24+08:00,1.3255235,103.727338,1,SEA,WAB,DD,,,,,,,,,,1.276042409,103.793184,15199
"",30,SBST,22009,84009,2018-04-14T20:06:51+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:19:29+08:00,1.3255235,103.727338,1,SEA,WAB,DD,,,,,,,,,,1.274814993,103.7967399,15169
"",30,SBST,22009,84009,2018-04-14T20:07:27+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:20:05+08:00,1.3255235,103.727338,1,SEA,WAB,DD,,,,,,,,,,1.274263038,103.7983935,15159
"",30,SBST,22009,84009,2018-04-14T20:08:04+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:20:42+08:00,1.3255235,103.727338,1,SEA,WAB,DD,,,,,,,,,,1.273418719,103.8005555,15149
"",30,SBST,22009,84009,2018-04-14T20:09:27+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:22:05+08:00,1.3255235,103.727338,1,SEA,WAB,DD,,,,,,,,,,1.272693033,103.8039836,14189
"",30,SBST,22009,84009,2018-04-14T20:09:56+08:00,1.3065773333333333,103.76343816666666,1,SEA,WAB,DD,22009,84009,2018-04-14T20:22:34+08:00,1.3255235,103.727338,1,SEA,WAB,DD,,,,,,,,,,1.271884546,103.8063,14179
