"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","84009","0"
"StopSequence1","2","84139","0.7"
"StopSequence2","3","84129","1.3"
"StopSequence3","4","84151","1.8"
"StopSequence4","5","93131","2.3"
"StopSequence5","6","93049","2.6"
"StopSequence6","7","93039","3"
"StopSequence7","8","93201","3.3"
"StopSequence8","9","93029","3.7"
"StopSequence9","10","93019","4.1"
"StopSequence10","11","92089","4.5"
"StopSequence11","12","92211","4.7"
"StopSequence12","13","92221","5"
"StopSequence13","14","92231","5.4"
"StopSequence14","15","92069","5.7"
"StopSequence15","16","92059","6.1"
"StopSequence16","17","92049","6.4"
"StopSequence17","18","92241","7.2"
"StopSequence18","19","92099","7.5"
"StopSequence19","20","91079","7.9"
"StopSequence20","21","91069","8.2"
"StopSequence21","22","91059","8.8"
"StopSequence22","23","91049","9"
"StopSequence23","24","91091","9.4"
"StopSequence24","25","80271","9.7"
"StopSequence25","26","80141","10.1"
"StopSequence26","27","80219","10.8"
"StopSequence27","28","80169","12.2"
"StopSequence28","29","80159","12.9"
"StopSequence29","30","02119","13.4"
"StopSequence30","31","03019","14.4"
"StopSequence31","32","03059","14.7"
"StopSequence32","33","03129","15.1"
"StopSequence33","34","03218","15.7"
"StopSequence34","35","05631","16.7"
"StopSequence35","36","05521","17.1"
"StopSequence36","37","10021","17.4"
"StopSequence37","38","10041","17.8"
"StopSequence38","39","10051","18.2"
"StopSequence39","40","10061","18.5"
"StopSequence40","41","10071","18.9"
"StopSequence41","42","10501","19.1"
"StopSequence42","43","10081","19.4"
"StopSequence43","44","10091","20"
"StopSequence44","45","10101","20.5"
"StopSequence45","46","10111","21"
"StopSequence46","47","10131","21.3"
"StopSequence47","48","11021","22"
"StopSequence48","49","11031","22.3"
"StopSequence49","50","11041","23"
"StopSequence50","51","11051","23.4"
"StopSequence51","52","11161","23.9"
"StopSequence52","53","11171","24.4"
"StopSequence53","54","11181","24.8"
"StopSequence54","55","11369","25.1"
"StopSequence55","56","18149","25.7"
"StopSequence56","57","18119","26.2"
"StopSequence57","58","19089","26.7"
"StopSequence58","59","19079","27"
"StopSequence59","60","19069","27.4"
"StopSequence60","61","19059","27.8"
"StopSequence61","62","17099","28"
"StopSequence62","63","17121","29"
"StopSequence63","64","17131","29.5"
"StopSequence64","65","17141","29.9"
"StopSequence65","66","17059","30.8"
"StopSequence66","67","17189","31.2"
"StopSequence67","68","17009","31.5"
