"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","54009","0"
"StopSequence1","2","54248","0.6"
"StopSequence2","3","54239","1"
"StopSequence3","4","54229","1.4"
"StopSequence4","5","54219","1.8"
"StopSequence5","6","54069","2.3"
"StopSequence6","7","56269","2.5"
"StopSequence7","8","53099","3"
"StopSequence8","9","53089","3.3"
"StopSequence9","10","53079","3.7"
"StopSequence10","11","53069","4.1"
"StopSequence11","12","53059","4.5"
"StopSequence12","13","53049","4.9"
"StopSequence13","14","53039","5.2"
"StopSequence14","15","53029","5.5"
"StopSequence15","16","53019","5.9"
"StopSequence16","17","51069","6.6"
"StopSequence17","18","51059","7.1"
"StopSequence18","19","51049","7.5"
"StopSequence19","20","51039","7.8"
"StopSequence20","21","51029","8"
"StopSequence21","22","51019","8.2"
"StopSequence22","23","50059","8.7"
"StopSequence23","24","50049","8.9"
"StopSequence24","25","50038","9.4"
"StopSequence25","26","50029","9.8"
"StopSequence26","27","50019","10.4"
"StopSequence27","28","40109","10.6"
"StopSequence28","29","40019","11.1"
"StopSequence29","30","07539","11.5"
"StopSequence30","31","07518","12.1"
"StopSequence31","32","04019","12.5"
"StopSequence32","33","04167","13.3"
"StopSequence33","34","04249","13.6"
"StopSequence34","35","05029","14"
"StopSequence35","36","05199","14.4"
"StopSequence36","37","05189","14.7"
"StopSequence37","38","05259","15.1"
"StopSequence38","39","05239","15.3"
"StopSequence39","40","10021","15.7"
"StopSequence40","41","10041","16.1"
"StopSequence41","42","10399","16.6"
"StopSequence42","43","14221","17"
"StopSequence43","44","14231","17.4"
"StopSequence44","45","14019","17.8"
"StopSequence45","46","14141","18.5"
"StopSequence46","47","14121","18.8"
"StopSequence47","48","14131","19.2"
"StopSequence48","49","14151","19.7"
"StopSequence49","50","14161","20.1"
"StopSequence50","51","14171","20.5"
"StopSequence51","52","15041","21.2"
"StopSequence52","53","15051","21.5"
"StopSequence53","54","18011","22"
"StopSequence54","55","18041","23.4"
"StopSequence55","56","18131","23.6"
"StopSequence56","57","18101","24.4"
"StopSequence57","58","18121","25"
"StopSequence58","59","18119","25.3"
"StopSequence59","60","19089","25.8"
"StopSequence60","61","19091","26.3"
"StopSequence61","62","19021","26.7"
"StopSequence62","63","19031","27.1"
"StopSequence63","64","19041","27.5"
"StopSequence64","65","17151","28.2"
"StopSequence65","66","17161","28.5"
"StopSequence66","67","17171","28.9"
"StopSequence67","68","17009","29.1"
