"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","17009","0"
"StopSequence1","2","17181","0.5"
"StopSequence2","3","17051","0.8"
"StopSequence3","4","20019","1.3"
"StopSequence4","5","17149","1.6"
"StopSequence5","6","17139","2"
"StopSequence6","7","17191","2.6"
"StopSequence7","8","19051","3.4"
"StopSequence8","9","19061","3.9"
"StopSequence9","10","19071","4.5"
"StopSequence10","11","19081","4.8"
"StopSequence11","12","18111","5.1"
"StopSequence12","13","18141","5.8"
"StopSequence13","14","11361","6.2"
"StopSequence14","15","11189","6.5"
"StopSequence15","16","11179","6.7"
"StopSequence16","17","11169","7.3"
"StopSequence17","18","11059","7.9"
"StopSequence18","19","11049","8.3"
"StopSequence19","20","11039","8.7"
"StopSequence20","21","11029","9.1"
"StopSequence21","22","11019","9.7"
"StopSequence22","23","10139","10"
"StopSequence23","24","10119","10.4"
"StopSequence24","25","10109","10.6"
"StopSequence25","26","10099","11.1"
"StopSequence26","27","10089","11.6"
"StopSequence27","28","10079","12.2"
"StopSequence28","29","10069","12.6"
"StopSequence29","30","10059","12.9"
"StopSequence30","31","10049","13.2"
"StopSequence31","32","10017","13.6"
"StopSequence32","33","05519","14.3"
"StopSequence33","34","05629","14.6"
"StopSequence34","35","03222","15"
"StopSequence35","36","03111","15.7"
"StopSequence36","37","03071","16"
"StopSequence37","38","03031","16.3"
"StopSequence38","39","03011","16.9"
"StopSequence39","40","02111","17.5"
"StopSequence40","41","80151","18.2"
"StopSequence41","42","80161","18.9"
"StopSequence42","43","80211","20.5"
"StopSequence43","44","80149","21.1"
"StopSequence44","45","80279","21.6"
"StopSequence45","46","91099","21.9"
"StopSequence46","47","91041","22.3"
"StopSequence47","48","91051","22.6"
"StopSequence48","49","91061","22.9"
"StopSequence49","50","91071","23.3"
"StopSequence50","51","92249","24"
"StopSequence51","52","92041","24.6"
"StopSequence52","53","92051","25"
"StopSequence53","54","92061","25.4"
"StopSequence54","55","92239","25.8"
"StopSequence55","56","92071","26.3"
"StopSequence56","57","92081","26.6"
"StopSequence57","58","93011","27"
"StopSequence58","59","93021","27.4"
"StopSequence59","60","93031","27.8"
"StopSequence60","61","93041","28.5"
"StopSequence61","62","93139","28.8"
"StopSequence62","63","84159","29.2"
"StopSequence63","64","84121","29.6"
"StopSequence64","65","84131","30.3"
"StopSequence65","66","84009","31.1"
