"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","17009","0"
"StopSequence1","2","17211","0.6"
"StopSequence2","3","17201","0.9"
"StopSequence3","4","17219","1.3"
"StopSequence4","5","17009","1.7"
