"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode","timestamp"
"routeInfo",133,SBST,54009,03239,2018-04-16T06:05:00+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:13:00+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:21:00+08:00,0,0,1,SEA,WAB,DD,1.369687699,103.8485672,54009,2018-04-16 05:57:45
"",133,SBST,54009,03239,2018-04-16T05:58:44+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:10:16+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:18:16+08:00,0,0,1,SEA,WAB,DD,1.368754906,103.8466101,54248,2018-04-16 05:57:45
"",133,SBST,54009,03239,2018-04-16T06:00:33+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:11:48+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:19:48+08:00,0,0,1,SEA,WAB,DD,1.366186667,103.8441833,54019,2018-04-16 05:57:45
"",133,SBST,54009,03239,2018-04-16T05:56:22+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:02:04+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:13:13+08:00,0,0,1,SEA,WAB,SD,1.364336649,103.8449067,54071,2018-04-16 05:57:45
"",133,SBST,54009,03239,2018-04-16T05:57:22+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:03:01+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:14:09+08:00,0,0,1,SEA,WAB,SD,1.363589722,103.8478669,54081,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T05:58:26+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:04:05+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:15:10+08:00,0,0,1,SEA,WAB,SD,1.36167975,103.850928,54091,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:00:17+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:06:03+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:17:09+08:00,0,0,1,SEA,WAB,SD,1.357320978,103.8546576,54101,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:02:16+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:08:06+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:18:57+08:00,0,0,1,SEA,WAB,SD,1.354546667,103.8614517,66091,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:03:41+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:09:31+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:20:13+08:00,0,0,1,SEA,WAB,SD,1.354656407,103.8657236,66031,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:05:27+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:11:17+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:22:21+08:00,0,0,1,SEA,WAB,SD,1.353553017,103.8682257,66369,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T05:57:29+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:07:24+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:13:14+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,1.350921638,103.8710691,66389,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T05:59:47+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:09:56+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:15:46+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,1.346989589,103.8720549,62129,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:00:48+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:10:51+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:16:41+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,1.344832659,103.8710922,62119,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:01:40+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:11:43+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:17:33+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,1.341962778,103.8709686,61049,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:02:26+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:12:29+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:18:19+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,1.338453328,103.8708488,61039,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:03:16+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:13:19+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:19:09+08:00,1.3696548333333334,103.84831483333333,1,SEA,WAB,DD,1.335968329,103.8705159,61029,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T05:56:16+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:03:54+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:13:57+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,1.333201667,103.8697617,61019,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T05:57:33+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:05:07+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:15:10+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.330990301,103.8692289,60269,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T05:58:13+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:05:52+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:15:55+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.329861339,103.868961,60209,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T05:59:55+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:07:40+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:17:43+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.326340257,103.8683403,60179,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:00:51+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:08:39+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:18:42+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.324094766,103.867642,60159,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:01:51+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:09:39+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:19:42+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.322048616,103.8662898,60139,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:03:11+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:10:59+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:21:02+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.318897114,103.8642149,60119,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:04:57+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:12:45+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:22:48+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.314564208,103.8608682,60099,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:06:12+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:14:00+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:24:03+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.313682531,103.8607145,7359,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:07:06+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:14:54+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:24:57+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.311408056,103.8623789,7369,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:07:44+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:15:32+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:25:35+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.310173367,103.8633823,7379,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:09:21+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:17:09+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:27:12+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.307574267,103.863256,1319,2018-04-16 05:57:46
"",133,SBST,54009,03239,2018-04-16T06:10:38+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:18:26+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:28:29+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.305265985,103.8607202,1219,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:11:50+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:19:38+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:29:41+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.303502692,103.8586453,1129,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:13:26+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:21:14+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:31:17+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.300756795,103.8561104,1059,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:15:10+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:22:58+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:33:01+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.299604109,103.8551293,1119,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:16:53+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:24:41+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:34:44+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.296989512,103.853022,1019,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:18:43+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:26:31+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:36:34+08:00,1.3643399999999999,103.84486516666666,1,SEA,WAB,SD,1.294520912,103.8540216,2049,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:20:31+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:28:19+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:38:22+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.293177763,103.8578462,2151,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:22:17+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:30:05+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:40:08+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.292685535,103.8609316,2161,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:23:19+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:31:07+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:41:08+08:00,1.3643055,103.84451216666666,1,SEA,WAB,SD,1.2907,103.8609219,2171,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:25:06+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:32:54+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,,,,,,,,,,1.28315,103.8600439,3509,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:26:01+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:33:49+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,,,,,,,,,,1.281245,103.858848,3519,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:28:26+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:36:14+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,,,,,,,,,,1.277533055,103.8556161,3539,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:29:19+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:37:07+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,,,,,,,,,,1.279399574,103.8527877,3529,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:31:48+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:39:36+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,,,,,,,,,,1.278070035,103.8495672,3129,2018-04-16 05:57:47
"",133,SBST,54009,03239,2018-04-16T06:33:14+08:00,1.3333086666666667,103.86977733333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:41:02+08:00,1.3533808333333335,103.86818716666667,1,SEA,WAB,DD,,,,,,,,,,1.274078889,103.8468739,3218,2018-04-16 05:57:47
"",133,SBST,03239,54009,2018-04-16T06:31:00+08:00,0,0,1,SEA,WAB,DD,,,,,,,,,,,,,,,,,,,1.27464227,103.8475672,3239,2018-04-16 05:57:47
"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode","timestamp"
"routeInfo",133,SBST,54009,03239,2018-04-16T06:05:00+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:13:00+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:21:00+08:00,0,0,1,SEA,WAB,DD,1.369687699,103.8485672,54009,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:10:16+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:18:16+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:26:16+08:00,0,0,1,SEA,WAB,DD,1.368754906,103.8466101,54248,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:05:39+08:00,1.3688655,103.846363,1,SEA,WAB,DD,54009,03239,2018-04-16T06:11:48+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:19:48+08:00,0,0,1,SEA,WAB,DD,1.366186667,103.8441833,54019,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:07:11+08:00,1.3688655,103.846363,1,SEA,WAB,DD,54009,03239,2018-04-16T06:13:13+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:21:13+08:00,0,0,1,SEA,WAB,DD,1.364336649,103.8449067,54071,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:08:08+08:00,1.3688655,103.846363,1,SEA,WAB,DD,54009,03239,2018-04-16T06:14:09+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:22:09+08:00,0,0,1,SEA,WAB,DD,1.363589722,103.8478669,54081,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:09:12+08:00,1.3688655,103.846363,1,SEA,WAB,DD,54009,03239,2018-04-16T06:15:10+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:23:10+08:00,0,0,1,SEA,WAB,DD,1.36167975,103.850928,54091,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:11:10+08:00,1.3688655,103.846363,1,SEA,WAB,DD,54009,03239,2018-04-16T06:17:09+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:25:09+08:00,0,0,1,SEA,WAB,DD,1.357320978,103.8546576,54101,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:13:13+08:00,1.3688655,103.846363,1,SEA,WAB,DD,54009,03239,2018-04-16T06:18:57+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:26:57+08:00,0,0,1,SEA,WAB,DD,1.354546667,103.8614517,66091,2018-04-16 06:05:56
"",133,SBST,54009,03239,2018-04-16T06:05:08+08:00,1.35399,103.863955,1,SEA,WAB,SD,54009,03239,2018-04-16T06:14:38+08:00,1.3688655,103.846363,1,SEA,WAB,DD,54009,03239,2018-04-16T06:20:13+08:00,0,0,1,SEA,WAB,SD,1.354656407,103.8657236,66031,2018-04-16 06:05:56
