"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","02099","0"
"StopSequence1","2","02101","0.4"
"StopSequence2","3","02051","0.8"
"StopSequence3","4","02061","1.1"
"StopSequence4","5","02151","1.9"
"StopSequence5","6","02161","2.6"
"StopSequence6","7","02171","2.9"
"StopSequence7","8","03509","3.8"
"StopSequence8","9","03519","4.1"
"StopSequence9","10","03539","4.7"
"StopSequence10","11","03529","5.1"
"StopSequence11","12","03129","5.7"
"StopSequence12","13","03217","6.1"
"StopSequence13","14","05649","7"
"StopSequence14","15","14061","7.3"
"StopSequence15","16","14071","7.8"
"StopSequence16","17","14081","8.2"
"StopSequence17","18","14101","8.6"
"StopSequence18","19","14141","9.4"
"StopSequence19","20","14121","9.7"
"StopSequence20","21","14131","10.1"
"StopSequence21","22","14151","10.6"
"StopSequence22","23","14161","11"
"StopSequence23","24","14171","11.4"
"StopSequence24","25","15041","12.1"
"StopSequence25","26","15051","12.4"
"StopSequence26","27","18011","12.9"
"StopSequence27","28","18041","14.3"
"StopSequence28","29","18131","14.5"
"StopSequence29","30","18101","15.3"
"StopSequence30","31","18071","15.7"
"StopSequence31","32","16091","16.4"
"StopSequence32","33","17121","17.7"
"StopSequence33","34","17131","18.2"
"StopSequence34","35","17141","18.6"
"StopSequence35","36","20011","19"
"StopSequence36","37","20021","19.5"
"StopSequence37","38","20031","20"
"StopSequence38","39","20051","20.8"
"StopSequence39","40","20271","21.3"
"StopSequence40","41","28221","21.6"
"StopSequence41","42","28231","21.9"
"StopSequence42","43","28241","22.3"
"StopSequence43","44","28439","22.7"
"StopSequence44","45","28009","23.2"
