"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","28009","0"
"StopSequence1","2","28301","0.3"
"StopSequence2","3","28431","0.6"
"StopSequence3","4","28249","0.9"
"StopSequence4","5","28239","1.4"
"StopSequence5","6","28229","2"
"StopSequence6","7","20059","2.4"
"StopSequence7","8","20039","3.2"
"StopSequence8","9","20029","3.7"
"StopSequence9","10","20019","4.3"
"StopSequence10","11","17149","4.6"
"StopSequence11","12","17139","5"
"StopSequence12","13","17129","5.6"
"StopSequence13","14","16099","6.7"
"StopSequence14","15","18079","7.6"
"StopSequence15","16","18109","8"
"StopSequence16","17","18049","8.8"
"StopSequence17","18","18019","10.6"
"StopSequence18","19","15059","11.1"
"StopSequence19","20","15049","11.4"
"StopSequence20","21","14189","11.8"
"StopSequence21","22","14179","12.1"
"StopSequence22","23","14169","12.5"
"StopSequence23","24","14159","13"
"StopSequence24","25","14139","13.4"
"StopSequence25","26","14129","13.9"
"StopSequence26","27","14119","14.2"
"StopSequence27","28","14109","14.9"
"StopSequence28","29","14089","15.3"
"StopSequence29","30","14069","16.2"
"StopSequence30","31","05641","16.7"
"StopSequence31","32","03222","17.1"
"StopSequence32","33","03111","17.8"
"StopSequence33","34","03071","18.1"
"StopSequence34","35","03381","18.7"
"StopSequence35","36","03391","18.9"
"StopSequence36","37","03511","19.6"
"StopSequence37","38","03501","20"
"StopSequence38","39","02169","20.9"
"StopSequence39","40","02159","21.2"
"StopSequence40","41","02089","21.5"
"StopSequence41","42","02099","21.8"
