ServiceNo,Operator,NextBus.OriginCode,NextBus.DestinationCode,NextBus.EstimatedArrival,NextBus.Latitude,NextBus.Longitude,NextBus.VisitNumber,NextBus.Load,NextBus.Feature,NextBus.Type,NextBus2.OriginCode,NextBus2.DestinationCode,NextBus2.EstimatedArrival,NextBus2.Latitude,NextBus2.Longitude,NextBus2.VisitNumber,NextBus2.Load,NextBus2.Feature,NextBus2.Type,NextBus3.OriginCode,NextBus3.DestinationCode,NextBus3.EstimatedArrival,NextBus3.Latitude,NextBus3.Longitude,NextBus3.VisitNumber,NextBus3.Load,NextBus3.Feature,NextBus3.Type,lat,long,BusStopCode,timestamp
133,SBST,54009,3239,2018-04-16T06:05:00+08:00,0,0,1,SEA,WAB,SD,54009,3239,2018-04-16T06:13:00+08:00,0,0,1,SEA,WAB,DD,54009,3239,2018-04-16T06:21:00+08:00,0,0,1,SEA,WAB,DD,1.369687699,103.8485672,54009,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T05:58:44+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:10:16+08:00,0,0,1,SEA,WAB,SD,54009,3239,2018-04-16T06:18:16+08:00,0,0,1,SEA,WAB,DD,1.368754906,103.8466101,54248,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T06:00:33+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:11:48+08:00,0,0,1,SEA,WAB,SD,54009,3239,2018-04-16T06:19:48+08:00,0,0,1,SEA,WAB,DD,1.366186667,103.8441833,54019,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T05:56:22+08:00,1.36434,103.8448652,1,SEA,WAB,SD,54009,3239,2018-04-16T06:02:04+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:13:13+08:00,0,0,1,SEA,WAB,SD,1.364336649,103.8449067,54071,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T05:57:22+08:00,1.36434,103.8448652,1,SEA,WAB,SD,54009,3239,2018-04-16T06:03:01+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:14:09+08:00,0,0,1,SEA,WAB,SD,1.363589722,103.8478669,54081,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T05:58:26+08:00,1.36434,103.8448652,1,SEA,WAB,SD,54009,3239,2018-04-16T06:04:05+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:15:10+08:00,0,0,1,SEA,WAB,SD,1.36167975,103.850928,54091,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T06:00:17+08:00,1.36434,103.8448652,1,SEA,WAB,SD,54009,3239,2018-04-16T06:06:03+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:17:09+08:00,0,0,1,SEA,WAB,SD,1.357320978,103.8546576,54101,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T06:02:16+08:00,1.36434,103.8448652,1,SEA,WAB,SD,54009,3239,2018-04-16T06:08:06+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:18:57+08:00,0,0,1,SEA,WAB,SD,1.354546667,103.8614517,66091,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T06:03:41+08:00,1.36434,103.8448652,1,SEA,WAB,SD,54009,3239,2018-04-16T06:09:31+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:20:13+08:00,0,0,1,SEA,WAB,SD,1.354656407,103.8657236,66031,16/4/2018 5:57
133,SBST,54009,3239,2018-04-16T06:05:27+08:00,1.3643055,103.8445122,1,SEA,WAB,SD,54009,3239,2018-04-16T06:11:17+08:00,1.369654833,103.8483148,1,SEA,WAB,DD,54009,3239,2018-04-16T06:22:21+08:00,0,0,1,SEA,WAB,SD,1.353553017,103.8682257,66369,16/4/2018 5:57
