"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","03239","0"
"StopSequence1","2","03222","0.8"
"StopSequence2","3","03111","1.5"
"StopSequence3","4","03071","1.8"
"StopSequence4","6","03381","2.4"
"StopSequence5","7","03391","2.6"
"StopSequence6","8","03511","3.3"
"StopSequence7","9","03501","3.7"
"StopSequence8","10","02051","4.4"
"StopSequence9","11","02061","4.7"
"StopSequence10","12","04151","5.6"
"StopSequence11","13","01013","6"
"StopSequence12","14","01113","6.4"
"StopSequence13","15","01121","6.8"
"StopSequence14","16","01211","7.1"
"StopSequence15","17","01311","7.4"
"StopSequence16","18","07371","7.7"
"StopSequence17","19","07361","8"
"StopSequence18","20","07351","8.3"
"StopSequence19","21","60101","8.9"
"StopSequence20","22","60121","9.2"
"StopSequence21","23","60141","9.6"
"StopSequence22","24","60161","9.9"
"StopSequence23","25","60201","10.5"
"StopSequence24","26","60261","10.7"
"StopSequence25","27","61011","10.9"
"StopSequence26","28","61021","11.2"
"StopSequence27","29","61031","11.4"
"StopSequence28","30","61041","11.7"
"StopSequence29","31","62111","12.1"
"StopSequence30","32","62121","12.3"
"StopSequence31","33","66381","12.7"
"StopSequence32","34","66361","13.1"
"StopSequence33","35","66039","13.5"
"StopSequence34","36","66099","14.2"
"StopSequence35","37","54109","15.1"
"StopSequence36","38","54099","15.7"
"StopSequence37","39","54089","16"
"StopSequence38","40","54079","16.3"
"StopSequence39","41","54011","16.8"
"StopSequence40","42","54241","17.3"
"StopSequence41","43","54009","17.8"
