"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","22609","0"
"StopSequence1","2","22191","0.1"
"StopSequence2","3","22181","0.4"
"StopSequence3","4","22461","0.7"
"StopSequence4","5","22451","1.1"
"StopSequence5","6","27301","1.4"
"StopSequence6","7","27369","1.8"
"StopSequence7","8","27359","2.1"
"StopSequence8","9","27389","2.7"
"StopSequence9","10","27379","3"
"StopSequence10","11","22599","3.5"
"StopSequence11","12","22449","3.7"
"StopSequence12","13","22489","4.1"
"StopSequence13","14","21399","4.5"
"StopSequence14","15","21421","4.9"
"StopSequence15","16","21241","5.3"
"StopSequence16","17","28539","5.7"
"StopSequence17","18","28409","6"
"StopSequence18","19","28529","6.3"
"StopSequence19","20","28519","6.8"
"StopSequence20","21","28509","7"
"StopSequence21","22","28499","7.5"
"StopSequence22","23","28469","7.9"
"StopSequence23","24","28459","8.3"
"StopSequence24","25","28339","8.7"
"StopSequence25","26","28329","9.1"
"StopSequence26","27","28631","9.5"
"StopSequence27","28","28641","9.8"
"StopSequence28","29","28651","10.4"
"StopSequence29","30","28049","11"
"StopSequence30","41","09169","26.3"
"StopSequence31","42","09179","26.6"
"StopSequence32","43","09048","27.1"
"StopSequence33","44","09038","27.7"
"StopSequence34","45","08138","28.1"
"StopSequence35","46","08057","28.5"
"StopSequence36","47","08069","29"
"StopSequence37","48","04179","29.3"
"StopSequence38","49","02049","29.7"
"StopSequence39","50","02151","30.3"
"StopSequence40","51","02161","31"
"StopSequence41","52","02171","31.3"
"StopSequence42","53","03509","32.2"
"StopSequence43","54","03519","32.5"
"StopSequence44","55","03539","33.1"
"StopSequence45","56","03529","33.5"
"StopSequence46","57","03129","34.1"
"StopSequence47","58","03217","34.5"
"StopSequence48","70","28041","48.8"
"StopSequence49","71","28659","49.4"
"StopSequence50","72","28649","50.1"
"StopSequence51","73","28639","50.4"
"StopSequence52","74","28321","50.8"
"StopSequence53","75","28331","51.2"
"StopSequence54","76","28451","51.7"
"StopSequence55","77","28461","52.1"
"StopSequence56","78","28491","52.6"
"StopSequence57","79","28501","53"
"StopSequence58","80","28511","53.4"
"StopSequence59","81","28521","53.7"
"StopSequence60","82","28401","54"
"StopSequence61","83","28531","54.3"
"StopSequence62","84","21249","54.9"
"StopSequence63","85","21429","55.3"
"StopSequence64","86","21391","55.7"
"StopSequence65","87","22481","56.1"
"StopSequence66","88","22441","56.6"
"StopSequence67","89","22591","56.9"
"StopSequence68","90","27371","57.3"
"StopSequence69","91","27381","57.7"
"StopSequence70","92","27351","58.4"
"StopSequence71","93","27361","58.7"
"StopSequence72","94","27309","59.1"
"StopSequence73","95","22459","59.4"
"StopSequence74","96","22469","59.6"
"StopSequence75","97","22189","59.9"
"StopSequence76","98","22199","60.3"
"StopSequence77","99","22609","60.4"
