"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","77009","0"
"StopSequence1","2","77191","0.7"
"StopSequence2","3","77201","1.1"
"StopSequence3","4","77211","1.4"
"StopSequence4","5","77251","1.9"
"StopSequence5","6","77261","2.3"
"StopSequence6","7","77271","2.6"
"StopSequence7","8","77289","2.9"
"StopSequence8","9","77239","3.2"
"StopSequence9","10","77249","3.5"
"StopSequence10","11","78049","3.8"
"StopSequence11","12","77019","4"
"StopSequence12","13","77029","4.4"
"StopSequence13","14","77039","4.8"
"StopSequence14","15","77049","5.2"
"StopSequence15","16","77059","5.6"
"StopSequence16","17","78069","5.9"
"StopSequence17","18","78059","6.3"
"StopSequence18","19","98099","6.7"
"StopSequence19","20","98019","7.1"
"StopSequence20","21","76249","7.7"
"StopSequence21","22","76239","8"
"StopSequence22","23","76039","8.3"
"StopSequence23","24","76109","8.6"
"StopSequence24","25","76099","9.1"
"StopSequence25","26","76089","9.6"
"StopSequence26","27","76079","10.1"
"StopSequence27","28","75059","10.8"
"StopSequence28","29","75229","11.2"
"StopSequence29","30","75239","11.7"
"StopSequence30","31","75249","12.1"
"StopSequence31","32","75259","12.4"
"StopSequence32","33","84459","14.6"
"StopSequence33","34","84539","14.8"
"StopSequence34","37","50129","24.8"
"StopSequence35","38","50119","25.2"
"StopSequence36","39","50069","25.8"
"StopSequence37","41","40189","26.6"
"StopSequence38","42","40179","26.8"
"StopSequence39","43","09219","27.6"
"StopSequence40","44","09047","28"
"StopSequence41","45","09037","28.5"
"StopSequence42","46","08138","29.2"
"StopSequence43","47","08057","29.6"
"StopSequence44","48","08069","30.1"
"StopSequence45","49","04179","30.4"
"StopSequence46","50","02049","30.8"
"StopSequence47","51","02151","31.4"
"StopSequence48","52","02161","32.1"
"StopSequence49","53","02171","32.4"
"StopSequence50","54","03509","33.3"
"StopSequence51","55","03519","33.6"
"StopSequence52","60","84451","45.5"
"StopSequence53","61","75251","47.9"
"StopSequence54","62","75241","48.3"
"StopSequence55","63","75231","48.6"
"StopSequence56","64","75221","49"
"StopSequence57","65","75051","49.5"
"StopSequence58","66","76071","50.2"
"StopSequence59","67","76081","50.7"
"StopSequence60","68","76091","51.1"
"StopSequence61","69","76101","51.5"
"StopSequence62","70","76031","51.7"
"StopSequence63","71","76231","52.1"
"StopSequence64","72","76241","52.4"
"StopSequence65","73","98011","53"
"StopSequence66","74","98091","53.3"
"StopSequence67","75","78051","53.7"
"StopSequence68","76","78061","54.1"
"StopSequence69","77","77051","54.5"
"StopSequence70","78","77041","54.9"
"StopSequence71","79","77031","55.3"
"StopSequence72","80","77021","55.6"
"StopSequence73","81","77011","56"
"StopSequence74","82","77241","56.3"
"StopSequence75","83","77231","56.6"
"StopSequence76","84","77281","56.9"
"StopSequence77","85","77279","57.3"
"StopSequence78","86","77269","57.6"
"StopSequence79","87","77259","58"
"StopSequence80","88","77219","58.4"
"StopSequence81","89","77209","58.8"
"StopSequence82","90","77199","59.2"
"StopSequence83","91","77009","59.9"
